"country"	"total.emissions"
"ARG"	97.9201020911524
"AUS"	157.897936280874
"AUT"	19.0892821029685
"BEL"	36.6610791143255
"BGR"	2.0039120809098
"BRA"	365.478039243321
"BRN"	1.27980765065374
"CAN"	1371.91369672204
"CHE"	55.0733826947372
"CHL"	107.035278833588
"CHN"	587.335186824922
"COL"	345.433330515588
"CRI"	54.0348568924367
"CYP"	1.27846155215788
"CZE"	13.9481249257125
"DEU"	255.761315132814
"DISC"	43.3138708568181
"DNK"	11.17709052121
"ESP"	200.236895840413
"EST"	1.17150848792182
"FIN"	11.4311268940917
"FRA"	159.014829629283
"GBR"	186.271723128275
"GRC"	12.6511619426965
"HKG"	22.6459793595322
"HRV"	2.45712041341923
"HUN"	7.37577860529987
"IDN"	57.0312942587885
"IND"	204.777152582323
"IRL"	19.3676701785659
"ISL"	0.902829091327578
"ISR"	23.1458897737586
"ITA"	126.843686430986
"JPN"	347.725719500293
"KHM"	1.0141938136154
"KOR"	163.875539620477
"LTU"	1.55700912958752
"LUX"	3.27630594036898
"LVA"	1.32046418725892
"MEX"	122150.463364073
"MLT"	0.39152669114507
"MYS"	33.040344636482
"NLD"	24.7141014823138
"NOR"	20.4392216044078
"NZL"	13.272408679758
"PHL"	13.243200173166
"POL"	26.9735958330676
"PRT"	22.9294947435208
"ROU"	9.83592477456217
"ROW"	1698.7638009349
"RUS"	94.901175997415
"SAU"	116.687784547248
"SGP"	34.4150328074338
"SVK"	5.90552546159612
"SVN"	3.52665042994322
"SWE"	21.1702241680486
"THA"	67.8397233603033
"TUN"	5.41293091374532
"TUR"	72.3508052794143
"TWN"	57.1370613637384
"USA"	13206.2730127158
"VNM"	16.8249294669654
"ZAF"	38.9704470188896
